date,keyword,title,description,source,url,risk_score
2026-03-04 10:54:00+00:00,bond yield,Indian bond yield trades near 3-week high on crude spike,"Indian government bond yields climbed to nearly a three-week high in afternoon trade on Wednesday, tracking a sharp spike in global crude oil prices amid escalating tensions in the Middle East.",The Economic Times,https://economictimes.indiatimes.com/markets/bonds/indian-bond-yield-trades-near-3-week-high-on-crude-spike/articleshow/129022257.cms,0.0
2026-03-04 11:00:06+00:00,bond yield,Indian bond yield trades near 3-week high on crude spike,Indian bond yield trades near 3-week high on crude spike,News18,https://www.news18.com/agency-feeds/indian-bond-yield-trades-near-3-week-high-on-crude-spike-9942288.html,0.0
2026-03-04 18:28:37+00:00,credit spread,"AI disruption will challenge lending decisions in coming years, Goldman exec says","​​Those fears have ​spread across the financial system, from equity markets into ​credit markets and the capital-raising process for companies in that sector.",The Economic Times,https://economictimes.indiatimes.com/tech/artificial-intelligence/ai-disruption-will-challenge-lending-decisions-in-coming-years-goldman-exec-says/articleshow/129044162.cms,0.0666666666666666
2026-03-04 21:25:33+00:00,export control,Venezuela oil hub nears seven-year export high under U.S.,"Venezuelan crude exports from its main export hub are surging toward multi-year highs in March, three months into Trump’s control. Read here",Financial Post,https://financialpost.com/commodities/energy/oil-gas/venezuela-oil-hub-nears-export-high,0.0666666666666666
2026-03-05 04:58:08+00:00,export control,China's Rare Earths Strategy: Boosting Global Competitiveness,"China announced plans to enhance the competitiveness of its rare earths industry over the next five years, as detailed in its 15th Five-Year Plan. As the world's largest producer of critical minerals vital to energy transitions, China aims to strengthen its export control systems.",Devdiscourse,https://www.devdiscourse.com/article/headlines/3826578-chinas-rare-earths-strategy-boosting-global-competitiveness,0.0
2026-03-05 05:08:47+00:00,bond yield,US 10-Year Treasury Yield Increases 4.1 Basis Points to 4.123%,The US 10-year Treasury note yield climbed 4.1 basis points to 4.123% in recent trading. This movement in the benchmark Treasury security reflects current bond market conditions and serves as an important indicator for broader financial markets.,scanx.trade,https://scanx.trade/stock-market-news/global/us-10-year-treasury-yield-increases-4-1-basis-points-to-4-123/34232927,0.0
2026-03-05 09:08:59+00:00,container rates,Rice Exporters Urge Government Intervention Amid Iran Crisis Shipping Disruptions,"Rice exporters are facing severe shipping challenges due to the Iran crisis and regional instability, leading to a call for urgent government support. Issues include container shortages, high freight rates, and increased costs. The Indian Rice Exporters Federation (IREF) seeks measures like port charge waivers and banking relief.",Devdiscourse,https://www.devdiscourse.com/article/business/3826905-rice-exporters-urge-government-intervention-amid-iran-crisis-shipping-disruptions,0.2
2026-03-05 10:36:40+00:00,opec,25 Days Of Crude Oil Available: Sources Say India Is In Comfortable Spot As Iran War Disrupts Supply,"India has 25 days of energy products amid Middle East war. The government is in touch with Canada, Australia, OPEC, IAEA for LPG and LNG supplies.",News18,https://www.news18.com/india/25-days-of-crude-oil-available-sources-say-india-is-in-comfortable-spot-as-iran-war-disrupts-supply-ws-l-9943900.html,0.0666666666666666
2026-03-05 10:38:31+00:00,opec,Oil leaps 3% on supply concerns as Iran conflict widens,"Iraq, the second largest crude producer in OPEC, has cut output by 1.5 million barrels a day for lack of export route.",ThePrint,https://theprint.in/world/oil-leaps-3-on-supply-concerns-as-iran-conflict-widens/2870294/,0.0666666666666666
2026-03-05 11:37:27+00:00,bond yield,Middle East Conflict Sparks Euro Zone Bond Yield Surge,"Investor fears mount as Euro zone government bonds fall, raising yields amid growing inflation concerns linked to the escalating Middle East conflict. Rising oil prices impact energy supply, influencing European Central Bank rate expectations and market predictions. Analysts anticipate no change to ECB interest rates despite potential inflation risks.",Devdiscourse,https://www.devdiscourse.com/article/headlines/3827100-middle-east-conflict-sparks-euro-zone-bond-yield-surge,0.0666666666666666
2026-03-05 12:07:46+00:00,ai regulation,East Asia's Crypto Revolution: Decentralization vs. Monopoly,"East Asian lawmakers are enforcing equity restructuring in major trading platforms, prompting investors to seek decentralized alternatives like DeepSnitch AI. This regulation aims to dilute the monopoly of platforms like Upbit and Bithumb. DeepSnitch AI offers innovative trading features, attracting significant investment as the crypto market evolves.",Devdiscourse,https://www.devdiscourse.com/article/headlines/3827155-east-asias-crypto-revolution-decentralization-vs-monopoly,0.0
2026-03-05 12:50:00+00:00,ai regulation,Apple Music Introduces AI Song Tagging,"Apple Music has introduced tagging for AI songs on its platform, marking the streamer's first regulation around the use of artificial intelligence.",Billboard,https://www.billboard.com/pro/apple-music-introduces-ai-song-tagging/,0.0
2026-03-05 12:50:46+00:00,ai regulation,'The workforce needs to embrace AI': Why humans are critical to the future of AI-integrated work,"Training, regulation, and employee collaboration are essential for successfully scaling businesses using AI, EY's Jad Shimaly told Euronews Next at Mobile World Congress.",Euronews,https://www.euronews.com/next/2026/03/05/the-workforce-needs-to-embrace-ai-why-humans-are-critical-to-the-future-of-ai-integrated-w,0.0
2026-03-05 13:15:27+00:00,container rates,War-hit Kerala exporters asked to pay 'surcharge' to get their products across,"This additional cost aims to cover increased operating expenses and security risks in critical shipping routes like the Strait of Hormuz..emergency freight increase, shipping surcharges, Middle East shipping crisis, export disruptions, container freight costs, AI for logistics risk assessment, LLM powered supply chain optimization, export to GCC countries, Strait of Hormuz shipping, impact of war on exports, Kerala exporters challenges, global shipping rates, logistics surcharge explanation, AI in shipping industry, managing unexpected freight costs",Malayala Manorama,https://www.onmanorama.com/news/kerala/2026/03/05/war-hit-kerala-exporters-asked-to-pay-war-surcharge.html,0.2
2026-03-05 13:23:15+00:00,opec,‘No shortage of oil and gas’ – Govt reassures India is in a very comfortable position,"The Indian government has reassured citizens of sufficient oil and gas stocks amid Middle East conflict and Strait of Hormuz disruptions, saying energy stocks are replenished daily. India is in talks with IEA, OPEC, Australia, Canada, the US and UAE for alternative supplies, even as 50% of crude imports remain Hormuz-dependent.",The Financial Express,https://www.financialexpress.com/business/news-no-shortage-of-oil-and-gas-govt-reassures-india-is-in-a-very-comfortable-position-4163387/,0.2
2026-03-05 17:10:25+00:00,bond yield,Mortgage rates hit 6% as Iran war spooks bond market traders,"By Samantha Delouya, CNN (CNN) — US mortgage rates didn’t stay below 6% for long. The average 30-year fixed mortgage was 6% for the week ending March 5, according to Freddie Mac – after war with Iran rattles financial markets. The yield on the 10-year Treasury, which mortgage rates closely follow, has climbed since President",ABC17News.com,https://abc17news.com/money/cnn-business-consumer/2026/03/05/mortgage-rates-hit-6-as-iran-war-spooks-bond-market-traders/,0.0666666666666666
2026-03-05 18:25:00+00:00,opec,Global oil supply chains face historic stress: Crude prices and tanker rates now at all-time highs - here’s the key reason behind the oil price surge,"Global oil supply chains face historic stress: Shipping 2 million barrels of crude oil now costs $29 million from the U.S. Gulf Coast to Asia. That is a record. Freight rates doubled in two weeks. Shipping alone now costs $14.50 per barrel, nearly 20% of the WTI crude oil price near $79. The trigger is the Strait of Hormuz crisis amid the U.S.–Israel–Iran conflict. Nearly 20–30% of global oil supply moves through this chokepoint. Tanker disruptions, OPEC+ cuts, and soaring freight rates are tightening global oil supply chains and pushing oil prices higher worldwide.",The Economic Times,https://economictimes.indiatimes.com/news/international/us/global-oil-supply-chains-face-historic-stress-crude-prices-and-tanker-rates-now-at-all-time-highs-heres-the-key-reason-behind-the-oil-price-surge/articleshow/129107376.cms,0.2
2026-03-05 21:09:52+00:00,bond yield,Bond yields blast upwards in response to war in Middle East,Canada’s 5-year yield is on a Saturn rocket blasting towards 2.90%. Find out more.,Financial Post,https://financialpost.com/real-estate/mortgages/mortgage-rates/bond-yields-upwards-war-middle-east,0.0666666666666666
2026-03-05 22:40:00+00:00,opec,Iraqi Supply Loss Could Expose The Real Limits Of OPEC Spare Capacity,"ZeroHedge - On a long enough timeline, the survival rate for everyone drops to zero",ZeroHedge,https://www.zerohedge.com/energy/iraqi-supply-loss-could-expose-real-limits-opec-spare-capacity,0.0
2026-03-05 23:00:38+00:00,export control,"UPDATE 3-US mulls new rules for AI chip exports, including requiring US investments by foreign firms","Installations of up to 200,000 chips could also require visits from ​U.S. export control officials, the document seen by Reuters said. “The rule could help the U.S. government address chip diversion to China and ensure a more secure buildout of the most powerful AI supercomputers,"" said ⁠Saif Khan, a former national security official in the Biden administration now at the Institute for Progress, a Washington think tank.",Devdiscourse,https://www.devdiscourse.com/article/technology/3827899-update-3-us-mulls-new-rules-for-ai-chip-exports-including-requiring-us-investments-by-foreign-firms,0.0
2026-03-05 23:02:55+00:00,bank stress,Pensioners express concern over undue harassment by banks,"Excelsior Correspondent SRINAGAR, Mar 5: A meeting of Pensioners and Senior Citizens Welfare Society J&K was held under the chairmanship of its president Mir Ghulam Rasool Batwinee here, today in which grave concern was expressed that pensioners in J&K are being asked by certain bank branches to furnish undertakings regarding recovery of alleged excess payments in their pension accounts. This practice has caused great anxiety and mental stress among senior citizens, who depend solely on their pensions for survival, the […]",Daily Excelsior,https://www.dailyexcelsior.com/pensioners-express-concern-over-undue-harassment-by-banks/,0.0
2026-03-06 00:30:00+00:00,antitrust,Google’s Play Store concessions fail to impress Indian entrepreneurs fighting antitrust case,"Indian entrepreneurs criticise Google's Play Store concessions, claiming they fail to address ongoing antitrust concerns and maintain unfair fees.",The Hindu Business Line,https://www.thehindubusinessline.com/info-tech/googles-play-store-concessions-fail-to-impress-indian-entrepreneurs-fighting-antitrust-case/article70707937.ece,0.0
2026-03-06 00:47:00+00:00,bond yield,"RBI bond buys help steady yields, offset liquidity drain","The Reserve Bank of India has increased its intervention in the government securities market, purchasing bonds to counteract liquidity drained by foreign exchange market actions. This move aims to maintain transmission momentum and stabilize yields amidst geopolitical concerns. Bond buying, particularly in the 10-year benchmark, suggests the central bank may be capping upward yield movements.",The Economic Times,https://economictimes.indiatimes.com/markets/bonds/rbi-bond-buys-help-steady-yields-offset-liquidity-drain/articleshow/129123800.cms,0.1333333333333333
2026-03-06 03:43:19+00:00,antitrust,S. Korea mulls penalty for 4 firms in alleged starch sugar price,"S. Korea mulls penalty for 4 firms in alleged starch sugar price-fixing case - Seoul, March 6 The antitrust regulator said on Friday it has begun reviewing possible penalties for four companies ... Get Latest News on Business only on lokmattimes.com",Lokmat Times,https://www.lokmattimes.com/business/s-korea-mulls-penalty-for-4-firms-in-alleged-starch-sugar-price-fixing-case/,0.0
2026-03-06 04:22:52+00:00,bond yield,"Bonds yields hold near 6-week low, US-Iran war, crude in focus",The benchmark 10-year bond yield was trading at 6.6462 percent on March 6,Moneycontrol,https://www.moneycontrol.com/news/business/markets/bonds-yields-hold-near-6-week-low-us-iran-war-crude-in-focus-13852571.html,0.0666666666666666
2026-03-06 06:48:41+00:00,export control,Data centre operators see opportunity in Trump’s new AI chip laws,"Donald Trump plans new laws to control the export of AI chips, but the companies building local data centres and AI factories think Australia will benefit.",Australian Financial Review,https://www.afr.com/technology/data-centre-operators-see-opportunity-in-trump-s-new-ai-chip-laws-20260305-p5o7w4,0.0
2026-03-06 07:58:27+00:00,container rates,Maersk Halts Middle East Routes Amid Iran Conflict,"Maersk, a leading container shipping group, has suspended two services connecting the Middle East with Asia and Europe due to escalating tensions following US and Israeli attacks on Iran. The conflict has disrupted global supply chains, causing port congestion and increased freight rates.",Devdiscourse,https://www.devdiscourse.com/article/business/3828265-maersk-halts-middle-east-routes-amid-iran-conflict,0.1333333333333333
2026-03-06 08:57:26+00:00,antitrust,Meta to allow AI rivals on WhatsApp in bid to stave off EU action,"Artificial intelligence rivals will be allowed on WhatsApp for a year, Meta Platforms said, ​aiming to head off a possible temporary order from EU antitrust regulator",The Hindu,https://www.thehindu.com/sci-tech/technology/meta-to-allow-ai-rivals-on-whatsapp-in-bid-to-stave-off-eu-action/article70710851.ece,0.0
2026-03-06 10:00:00+00:00,ai regulation,The Campaign to Take Down Alex Bores Is Just the Beginning,A leading AI industry-backed Super PAC is targeting a pro-regulation candidate — and building a strategy that other politicians will have to contend with.,POLITICO,https://www.politico.com/news/magazine/2026/03/06/alex-bores-ai-leading-the-future-anthropic-00797055,0.0
2026-03-06 11:24:30+00:00,downgrade,Indonesia's Maverick Minister: Purbaya's Bold Economic Experiment,"Indonesia's Finance Minister, Purbaya Yudhi Sadewa, is implementing unconventional pro-growth policies, causing uncertainty and concerns over fiscal discipline. Despite setbacks, such as Fitch's credit rating downgrade, Purbaya remains optimistic about Indonesia's economic future, emphasizing robust growth figures and his commitment to maintaining investor trust.",Devdiscourse,https://www.devdiscourse.com/article/business/3828546-indonesias-maverick-minister-purbayas-bold-economic-experiment,0.0666666666666666
2026-03-06 12:49:46+00:00,downgrade,Analysts downgrade Meta stock price target as the company ‘lags on AI’,Meta stock received a downgrade from Wall Street due to concerns regarding its ability to keep up with the demands imposed by the AI sector.,Finbold,https://finbold.com/analysts-downgrade-meta-stock-price-target-as-the-company-lags-on-ai/,0.0666666666666666
2026-03-06 12:49:46+00:00,downgrade,Analyst downgrades Meta stock price target as the company ‘lags on AI’,Meta stock received a downgrade from Wall Street due to concerns regarding its ability to keep up with the demands imposed by the AI sector.,Finbold,https://finbold.com/analyst-downgrades-meta-stock-price-target-as-the-company-lags-on-ai/,0.0666666666666666
2026-03-06 13:23:25+00:00,downgrade,Airlines can downgrade you from business class to economy - here’s why and how to avoid,Airlines can downgrade you from business class to economy — here’s why and how to avoid it,The Independent,https://www.independent.co.uk/travel/news-and-advice/airlines-downgrade-business-class-why-avoid-explained-b2932567.html,0.0666666666666666
2026-03-06 14:04:28+00:00,opec,Kuwait Slashes Oil Output Amid Storage Crisis,"Kuwait has begun reducing oil production due to storage limitations, according to the Wall Street Journal. The country, a key OPEC member, is considering further limiting output and refining to meet only domestic needs. Reuters has not yet confirmed the report.",Devdiscourse,https://www.devdiscourse.com/article/headlines/3828837-kuwait-slashes-oil-output-amid-storage-crisis,0.0666666666666666
2026-03-06 14:30:01+00:00,ai regulation,Technolegal approach of India on AI pragmatic: Wipro's Ivana Bartoletti,"Wipro's Global Chief Privacy and AI Governance Officer Ivana Bartoletti says India's techno-legal, soft-regulation approach to AI is pragmatic as the technology evolves rapidly",Business Standard,https://www.business-standard.com/companies/news/india-soft-regulation-ai-pragmatic-wipro-ivana-bartoletti-126030601203_1.html,0.0
2026-03-06 16:18:42+00:00,bond yield,Global Bond Markets Brace Amid Middle East Tensions,"Global government bond markets are experiencing significant losses due to Middle East conflicts. Crude oil prices are rising, leading to increased inflation concerns. Short-term bonds in the U.S. and Germany show notable yield increases. Central banks may adopt hawkish policies to curb inflationary pressures.",Devdiscourse,https://www.devdiscourse.com/article/business/3829051-global-bond-markets-brace-amid-middle-east-tensions,0.0666666666666666
2026-03-06 16:38:00+00:00,recession,Anthropic just mapped out which jobs AI could potentially replace. A 'Great Recession for white-collar workers' is absolutely possible,"The red jobs are what AI is doing now, Anthropic says. The blue ones are what it's coming for next.",Fortune,https://fortune.com/2026/03/06/ai-job-losses-report-anthropic-research-great-recession-for-white-collar-workers/,0.0666666666666666
2026-03-06 16:38:00+00:00,recession,Anthropic just mapped out which jobs AI could potentially replace. A ‘Great Recession for white,"The red jobs are what AI is doing now, Anthropic says. The blue ones are what it's coming for next.",NewsBreak,https://www.newsbreak.com/fortune-561435/4526801738529-anthropic-just-mapped-out-which-jobs-ai-could-potentially-replace-a-great-recession-for-white-collar-workers-is-absolutely-possible,0.0666666666666666
2026-03-06 17:05:14+00:00,bank stress,Iran conflict could push oil to $150 and crash Bitcoin up to 45%,"If Hormuz disruption drags past week seven, bank models jump from “manageable” to $100 $125 $150 stress scenarios.",CryptoSlate,https://cryptoslate.com/oil-shock-could-send-bitcoin-down-45-if-price-surge-forces-fed-to-delay-cuts/,0.1333333333333333
2026-03-06 17:33:07+00:00,opec,Iran war forces OPEC nation to limit production,The 10th largest oil producer in the world is looking at slowing down production amid continued strikes on Iran,The Independent,https://www.independent.co.uk/news/world/middle-east/kuwait-oil-iran-war-trump-b2933548.html,0.0666666666666666
2026-03-06 17:34:31+00:00,antitrust,J&J ink $65M deal to resolve Tracleer antitrust case (JNJ:NYSE),Johnson & Johnson (JNJ) units will pay $65M to settle a Tracleer antitrust class action over alleged delays to generic competition. Read more here.,Seeking Alpha,https://seekingalpha.com/news/4561975-jj-ink-65m-deal-resolve-tracleer-antitrust-case,0.0
2026-03-06 18:03:00+00:00,recession,BlackRock Slumps 6% After Private Credit Fund Caps Withdrawals: Is A Recession Brewing?,Three top credit managers face pressure: BlackRock Inc blocks redemptions; Blackstone Inc raises cap.,Benzinga,https://www.benzinga.com/markets/prediction-markets/26/03/51105353/blackrock-slumps-6-after-private-credit-fund-caps-withdrawals-is-a-recession-brewing,0.0666666666666666
2026-03-06 18:19:57+00:00,ai regulation,"When AI Companies Go to War, Safety Gets Left Behind","We were promised AI regulation and a race to the top. Now, we’re arguing about killer robots.",WIRED,https://www.wired.com/story/when-ai-companies-go-to-war-safety-gets-left-behind/,0.0666666666666666
2026-03-06 18:47:14+00:00,antitrust,Johnson & Johnson Units to Pay $65 Million to Settle Tracleer Antitrust Lawsuit,Johnson & Johnson units Actelion Pharmaceuticals and Janssen Research & Development have agreed to pay $65 million to settle a proposed antitrust class action alleging overcharging for the...,MarketScreener,https://www.marketscreener.com/news/johnson-johnson-units-to-pay-65-million-to-settle-tracleer-antitrust-lawsuit-ce7e5fd8df8ffe27,0.0
